canonical_term,category,official_source,source_document,ra,aliases,confidence,manually_reviewed,notes
pests,viticulture,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,Study Guide p.31,,high,false,"Matched official PDF pages: 31, 35, 42, 46, 49, 50, 208, 209"
phylloxera,viticulture,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,Study Guide p.28,,high,false,"Matched official PDF pages: 28, 30, 31, 32, 46"
pruning,viticulture,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,Study Guide p.30,,high,false,"Matched official PDF pages: 30, 42, 43, 44, 46, 99, 208, 209"
replacement cane pruning,viticulture,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,Study Guide p.43,,high,false,"Matched official PDF pages: 43, 208"
rootstock,viticulture,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,Study Guide p.31,,high,false,"Matched official PDF pages: 31, 32"
shoots,viticulture,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,Study Guide p.30,,high,false,"Matched official PDF pages: 30, 33, 35, 36, 43, 99, 209"
site selection,viticulture,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,Study Guide p.42,,high,false,"Matched official PDF pages: 42, 192, 209"
summer pruning,viticulture,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,Study Guide p.43,,high,false,"Matched official PDF pages: 43, 209"
training,viticulture,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,Study Guide p.30,,high,false,"Matched official PDF pages: 30, 42, 43, 44, 99, 127, 138, 140, 146, 209"
trellising,viticulture,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,Study Guide p.42,,high,false,"Matched official PDF pages: 42, 43, 111, 130, 138, 146, 148, 179, 209"
vineyard management,viticulture,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,Study Guide p.45,,high,false,Matched official PDF pages: 45
Vitis vinifera,viticulture,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,Study Guide p.28,,high,false,Matched official PDF pages: 28
whole bunch fermentation,viticulture,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,Study Guide p.51,whole bunch,medium,false,"Matched official PDF pages: 51, 73, 207, 209"
AOC,wine_law,specification,WSET_L3_Specification_Official_2026.pdf,RA2,,high,false,Matched official PDF pages: 17
AVA,wine_law,specification,WSET_L3_Specification_Official_2026.pdf,RA2,,high,false,Matched official PDF pages: 17
AVA,wine_law,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,Study Guide p.68,,high,false,"Matched official PDF pages: 68, 84, 154, 155, 156, 157, 158, 192, 206"
Beerenauslese,wine_law,specification,WSET_L3_Specification_Official_2026.pdf,RA2,,high,false,"Matched official PDF pages: 17, 23"
Beerenauslese,wine_law,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,Study Guide p.118,,high,false,Matched official PDF pages: 118
Brut,wine_law,specification,WSET_L3_Specification_Official_2026.pdf,RA3,,high,false,Matched official PDF pages: 19
Brut,wine_law,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,SAT chapter,,high,false,"Matched official PDF pages: 14, 183, 186, 190, 191"
Brut Nature,wine_law,specification,WSET_L3_Specification_Official_2026.pdf,RA3,,high,false,Matched official PDF pages: 19
Brut Nature,wine_law,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,Study Guide p.183,,high,false,Matched official PDF pages: 183
Classico,wine_law,specification,WSET_L3_Specification_Official_2026.pdf,RA2,,high,false,"Matched official PDF pages: 13, 17, 24"
Classico,wine_law,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,Study Guide p.132,,high,false,"Matched official PDF pages: 132, 135, 136, 206, 209"
Costa,wine_law,specification,WSET_L3_Specification_Official_2026.pdf,RA2,,high,false,Matched official PDF pages: 17
Costa,wine_law,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,Study Guide p.161,,high,false,"Matched official PDF pages: 161, 207"
Crianza,wine_law,specification,WSET_L3_Specification_Official_2026.pdf,RA1,,high,false,"Matched official PDF pages: 11, 17, 20, 23, 29"
Crianza,wine_law,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,Study Guide p.141,,high,false,"Matched official PDF pages: 141, 207"
DAC,wine_law,specification,WSET_L3_Specification_Official_2026.pdf,RA2,,high,false,Matched official PDF pages: 17
DAC,wine_law,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,Study Guide p.123,,high,false,"Matched official PDF pages: 123, 124, 207"
Demi-sec,wine_law,specification,WSET_L3_Specification_Official_2026.pdf,RA3,,high,false,Matched official PDF pages: 19
Demi-sec,wine_law,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,Study Guide p.186,,high,false,Matched official PDF pages: 186
DOC,wine_law,specification,WSET_L3_Specification_Official_2026.pdf,RA2,,high,false,Matched official PDF pages: 17
DOC,wine_law,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,Study Guide p.130,,high,false,"Matched official PDF pages: 130, 131, 132, 133, 136, 137, 138, 139, 148, 150, 191, 207"
DOCa,wine_law,specification,WSET_L3_Specification_Official_2026.pdf,RA2,,high,false,Matched official PDF pages: 17
DOCa,wine_law,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,Index,,high,false,Matched official PDF pages: 207
DOCG,wine_law,specification,WSET_L3_Specification_Official_2026.pdf,RA2,,high,false,Matched official PDF pages: 17
DOCG,wine_law,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,Study Guide p.132,,high,false,"Matched official PDF pages: 132, 133, 134, 135, 136, 137, 138, 191, 207"
DOQ,wine_law,specification,WSET_L3_Specification_Official_2026.pdf,RA2,,high,false,Matched official PDF pages: 17
DOQ,wine_law,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,Index,,high,false,Matched official PDF pages: 207
Eiswein,wine_law,specification,WSET_L3_Specification_Official_2026.pdf,RA2,,high,false,"Matched official PDF pages: 17, 23"
Eiswein,wine_law,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,Study Guide p.118,,high,false,"Matched official PDF pages: 118, 119, 207"
Entre Cordilleras,wine_law,specification,WSET_L3_Specification_Official_2026.pdf,RA2,,high,false,Matched official PDF pages: 17
Entre Cordilleras,wine_law,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,Index,,high,false,Matched official PDF pages: 207
Eszencia,wine_law,specification,WSET_L3_Specification_Official_2026.pdf,RA2,,high,false,Matched official PDF pages: 17
Eszencia,wine_law,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,Study Guide p.126,,high,false,"Matched official PDF pages: 126, 207"
Gran Reserva,wine_law,specification,WSET_L3_Specification_Official_2026.pdf,RA2,,high,false,"Matched official PDF pages: 17, 24"
Gran Reserva,wine_law,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,Index,,high,false,Matched official PDF pages: 207
Grand Cru,wine_law,specification,WSET_L3_Specification_Official_2026.pdf,RA2,,high,false,"Matched official PDF pages: 12, 17, 19, 23"
Grand Cru,wine_law,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,Study Guide p.94,,high,false,"Matched official PDF pages: 94, 96, 97, 101, 102, 188, 206, 208"
Grosses Gewächs,wine_law,specification,WSET_L3_Specification_Official_2026.pdf,RA2,,high,false,Matched official PDF pages: 17
IGP,wine_law,specification,WSET_L3_Specification_Official_2026.pdf,RA2,,high,false,"Matched official PDF pages: 17, 23"
IGP,wine_law,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,Study Guide p.84,,high,false,"Matched official PDF pages: 84, 86, 92, 104, 114, 115, 116, 129, 133, 148, 207"
IGT,wine_law,specification,WSET_L3_Specification_Official_2026.pdf,RA2,,high,false,Matched official PDF pages: 17
IGT,wine_law,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,Study Guide p.131,,high,false,"Matched official PDF pages: 131, 133, 136, 138, 139, 207, 209"
Indication géographique protégée,wine_law,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,Study Guide p.84,Indication geographique protegee,medium,false,"Matched official PDF pages: 84, 207"
Joven,wine_law,sat,WSET_L3_SAT_Official_2016.pdf,Unit 2 SAT,,high,false,Matched official PDF pages: 1
Joven,wine_law,specification,WSET_L3_Specification_Official_2026.pdf,RA2,,high,false,"Matched official PDF pages: 17, 22"
Joven,wine_law,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,Study Guide p.141,,high,false,"Matched official PDF pages: 141, 143"
Kabinett,wine_law,specification,WSET_L3_Specification_Official_2026.pdf,RA2,,high,false,"Matched official PDF pages: 17, 23"
Kabinett,wine_law,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,Study Guide p.117,,high,false,"Matched official PDF pages: 117, 118, 207"
Late Bottled Vintage,wine_law,specification,WSET_L3_Specification_Official_2026.pdf,RA4/RA5,,high,false,"Matched official PDF pages: 20, 25"
Late Bottled Vintage,wine_law,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,Study Guide p.202,,high,false,"Matched official PDF pages: 202, 207"
Non-Vintage,wine_law,specification,WSET_L3_Specification_Official_2026.pdf,RA3,,high,false,"Matched official PDF pages: 19, 25"
Non-Vintage,wine_law,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,Study Guide p.183,,high,false,"Matched official PDF pages: 183, 186, 189, 190, 191, 192, 202"
Prädikatswein,wine_law,specification,WSET_L3_Specification_Official_2026.pdf,RA2,,high,false,Matched official PDF pages: 17
Premier cru,wine_law,specification,WSET_L3_Specification_Official_2026.pdf,RA2,,high,false,"Matched official PDF pages: 17, 19, 23"
Premier cru,wine_law,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,Study Guide p.96,,high,false,"Matched official PDF pages: 96, 98, 188, 208"
Qualitätswein,wine_law,specification,WSET_L3_Specification_Official_2026.pdf,RA2,,high,false,Matched official PDF pages: 17
Reserva,wine_law,specification,WSET_L3_Specification_Official_2026.pdf,RA2,,high,false,"Matched official PDF pages: 17, 20, 24, 32"
Reserva,wine_law,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,Study Guide p.161,,high,false,"Matched official PDF pages: 161, 202, 207, 208"
Riserva,wine_law,specification,WSET_L3_Specification_Official_2026.pdf,RA2,,high,false,"Matched official PDF pages: 17, 24"
Riserva,wine_law,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,Study Guide p.136,,high,false,"Matched official PDF pages: 136, 208"
Ruby,wine_law,specification,WSET_L3_Specification_Official_2026.pdf,RA4/RA5,,high,false,Matched official PDF pages: 20
Ruby,wine_law,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,SAT chapter,,high,false,"Matched official PDF pages: 10, 12, 15, 127, 156, 201, 202, 208"
sélection de grains nobles,wine_law,specification,WSET_L3_Specification_Official_2026.pdf,RA2,,high,false,"Matched official PDF pages: 17, 23"
sélection de grains nobles,wine_law,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,Index,selection de grains nobles,medium,false,Matched official PDF pages: 209
Spätlese,wine_law,specification,WSET_L3_Specification_Official_2026.pdf,RA2,,high,false,"Matched official PDF pages: 17, 23"
Spätlese,wine_law,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,Study Guide p.118,Spatlese,medium,false,Matched official PDF pages: 118
sur lie,wine_law,specification,WSET_L3_Specification_Official_2026.pdf,RA2,,high,false,"Matched official PDF pages: 17, 23"
sur lie,wine_law,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,Study Guide p.106,,high,false,Matched official PDF pages: 106
Tawny,wine_law,specification,WSET_L3_Specification_Official_2026.pdf,RA4/RA5,,high,false,"Matched official PDF pages: 20, 25"
Tawny,wine_law,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,SAT chapter,,high,false,"Matched official PDF pages: 12, 14, 15, 53, 127, 201, 202, 203, 209"
Tokaji Aszú,wine_law,specification,WSET_L3_Specification_Official_2026.pdf,RA2,,high,false,"Matched official PDF pages: 17, 24"
Tokaji Aszú,wine_law,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,Study Guide p.126,Tokaji Aszu,medium,false,Matched official PDF pages: 126
Trockenbeerenauslese,wine_law,specification,WSET_L3_Specification_Official_2026.pdf,RA2,,high,false,Matched official PDF pages: 17
Trockenbeerenauslese,wine_law,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,Study Guide p.118,,high,false,Matched official PDF pages: 118
VDP,wine_law,specification,WSET_L3_Specification_Official_2026.pdf,RA2,,high,false,"Matched official PDF pages: 17, 23"
vendanges tardives,wine_law,specification,WSET_L3_Specification_Official_2026.pdf,RA2,,high,false,"Matched official PDF pages: 17, 23"
Vin de France,wine_law,specification,WSET_L3_Specification_Official_2026.pdf,RA2,,high,false,Matched official PDF pages: 17
Vin de Pays,wine_law,specification,WSET_L3_Specification_Official_2026.pdf,RA2,,high,false,Matched official PDF pages: 17
Vin de Pays,wine_law,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,Study Guide p.84,,high,false,Matched official PDF pages: 84
Vino de la Tierra,wine_law,specification,WSET_L3_Specification_Official_2026.pdf,RA2,,high,false,Matched official PDF pages: 17
Vinos de Pago,wine_law,specification,WSET_L3_Specification_Official_2026.pdf,RA2,,high,false,Matched official PDF pages: 17
Vintage,wine_law,specification,WSET_L3_Specification_Official_2026.pdf,RA3,,high,false,"Matched official PDF pages: 19, 20, 25"
Vintage,wine_law,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,SAT chapter,,high,false,"Matched official PDF pages: 14, 32, 50, 60, 63, 65, 68, 83, 87, 94, 99, 102 (+17 more)"
VQA,wine_law,specification,WSET_L3_Specification_Official_2026.pdf,RA2,,high,false,Matched official PDF pages: 17
VQA,wine_law,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,Study Guide p.159,,high,false,Matched official PDF pages: 159
Wine of Origin,wine_law,specification,WSET_L3_Specification_Official_2026.pdf,RA2,,high,false,Matched official PDF pages: 17
Wine of Origin,wine_law,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,Study Guide p.169,,high,false,"Matched official PDF pages: 169, 209"
