canonical_term,category,official_sources,source_documents,source_count,ra,aliases,confidence,manually_reviewed,safe_for_tutor,safe_for_examiner,official_grading_authority,notes,quality_flags
Northern Rhône,region,"[""study-guide""]","[""WSET_L3_Study_Guide_Official_2026.pdf""]",1,"[""Study Guide p.51""]","[""Northern Rhone""]",medium,false,true,false,false,"Matched official PDF pages: 51, 78, 108, 109, 110, 111, 208","[""needs_human_review"", ""possible_ocr_issue""]"
Oregon,region,"[""specification"", ""study-guide""]","[""WSET_L3_Specification_Official_2026.pdf"", ""WSET_L3_Study_Guide_Official_2026.pdf""]",2,"[""RA2"", ""Study Guide p.69""]","[""Oregon""]",high,false,true,false,false,"Matched official PDF pages: 14 | Matched official PDF pages: 69, 151, 157, 158, 208","[""conflicting_confidence"", ""needs_human_review"", ""possible_ocr_issue""]"
Pfalz,region,"[""specification"", ""study-guide""]","[""WSET_L3_Specification_Official_2026.pdf"", ""WSET_L3_Study_Guide_Official_2026.pdf""]",2,"[""RA2"", ""Study Guide p.119""]",[],high,false,true,false,false,"Matched official PDF pages: 13 | Matched official PDF pages: 119, 120, 208",[]
Portugal,region,"[""specification"", ""study-guide""]","[""WSET_L3_Specification_Official_2026.pdf"", ""WSET_L3_Study_Guide_Official_2026.pdf""]",2,"[""RA2"", ""Study Guide p.51""]",[],high,false,true,false,false,"Matched official PDF pages: 13, 16, 20, 24, 25 | Matched official PDF pages: 51, 142, 145, 148, 149, 150, 200, 208",[]
Rheingau,region,"[""specification"", ""study-guide""]","[""WSET_L3_Specification_Official_2026.pdf"", ""WSET_L3_Study_Guide_Official_2026.pdf""]",2,"[""RA2"", ""Study Guide p.119""]",[],high,false,true,false,false,"Matched official PDF pages: 13 | Matched official PDF pages: 119, 120, 208",[]
Rheinhessen,region,"[""specification"", ""study-guide""]","[""WSET_L3_Specification_Official_2026.pdf"", ""WSET_L3_Study_Guide_Official_2026.pdf""]",2,"[""RA2"", ""Study Guide p.119""]",[],high,false,true,false,false,"Matched official PDF pages: 13 | Matched official PDF pages: 119, 120, 208",[]
Rhône,region,"[""specification"", ""study-guide""]","[""WSET_L3_Specification_Official_2026.pdf"", ""WSET_L3_Study_Guide_Official_2026.pdf""]",2,"[""RA2"", ""Study Guide p.43""]","[""Rhone""]",high,false,true,false,false,"Matched official PDF pages: 12, 23 | Matched official PDF pages: 43, 51, 78, 108, 109, 110, 111, 112, 113, 114, 115, 155 (+7 more)","[""conflicting_confidence"", ""needs_human_review"", ""possible_ocr_issue""]"
South Africa,region,"[""study-guide""]","[""WSET_L3_Study_Guide_Official_2026.pdf""]",1,"[""Study Guide p.33""]",[],medium,false,true,false,false,"Matched official PDF pages: 33, 40, 66, 77, 78, 169, 170, 171, 172, 192, 206, 209","[""conflicting_confidence"", ""needs_human_review""]"
Southern France,region,"[""study-guide""]","[""WSET_L3_Study_Guide_Official_2026.pdf""]",1,"[""Study Guide p.114""]",[],medium,false,true,false,false,"Matched official PDF pages: 114, 115, 116, 209","[""conflicting_confidence"", ""needs_human_review""]"
Southern Italy,region,"[""study-guide""]","[""WSET_L3_Study_Guide_Official_2026.pdf""]",1,"[""Study Guide p.138""]",[],medium,false,true,false,false,"Matched official PDF pages: 138, 209","[""conflicting_confidence"", ""needs_human_review""]"
Southern Rhône,region,"[""study-guide""]","[""WSET_L3_Study_Guide_Official_2026.pdf""]",1,"[""Study Guide p.43""]","[""Southern Rhone""]",medium,false,true,false,false,"Matched official PDF pages: 43, 78, 108, 111, 112, 113, 209","[""needs_human_review"", ""possible_ocr_issue""]"
Spain,region,"[""study-guide""]","[""WSET_L3_Study_Guide_Official_2026.pdf""]",1,"[""SAT chapter""]",[],medium,false,true,false,false,"Matched official PDF pages: 14, 30, 76, 78, 92, 115, 140, 141, 142, 143, 144, 145 (+9 more)","[""conflicting_confidence"", ""needs_human_review""]"
Tokaj,region,"[""specification"", ""study-guide""]","[""WSET_L3_Specification_Official_2026.pdf"", ""WSET_L3_Study_Guide_Official_2026.pdf""]",2,"[""RA2"", ""Study Guide p.125""]",[],high,false,true,false,false,"Matched official PDF pages: 13, 15, 24 | Matched official PDF pages: 125, 126, 209",[]
Tuscany,region,"[""study-guide""]","[""WSET_L3_Study_Guide_Official_2026.pdf""]",1,"[""Study Guide p.135""]",[],medium,false,true,false,false,"Matched official PDF pages: 135, 136, 137, 209","[""conflicting_confidence"", ""needs_human_review""]"
USA,region,"[""study-guide""]","[""WSET_L3_Study_Guide_Official_2026.pdf""]",1,"[""Study Guide p.68""]",[],medium,false,true,false,false,"Matched official PDF pages: 68, 69, 78, 96, 101, 151, 152, 157, 158, 192, 209","[""conflicting_confidence"", ""needs_human_review""]"
Veneto,region,"[""specification"", ""study-guide""]","[""WSET_L3_Specification_Official_2026.pdf"", ""WSET_L3_Study_Guide_Official_2026.pdf""]",2,"[""RA2"", ""Study Guide p.70""]",[],high,false,true,false,false,"Matched official PDF pages: 13, 15, 24 | Matched official PDF pages: 70, 130, 131, 132, 191, 209",[]
Washington,region,"[""specification"", ""study-guide""]","[""WSET_L3_Specification_Official_2026.pdf"", ""WSET_L3_Study_Guide_Official_2026.pdf""]",2,"[""RA2"", ""Study Guide p.68""]",[],high,false,true,false,false,"Matched official PDF pages: 14 | Matched official PDF pages: 68, 78, 151, 157, 209",[]
Western Australia,region,"[""specification"", ""study-guide""]","[""WSET_L3_Specification_Official_2026.pdf"", ""WSET_L3_Study_Guide_Official_2026.pdf""]",2,"[""RA2"", ""Study Guide p.66""]",[],high,false,true,false,false,"Matched official PDF pages: 14 | Matched official PDF pages: 66, 69, 174, 177, 209",[]
Western Cape,region,"[""specification"", ""study-guide""]","[""WSET_L3_Specification_Official_2026.pdf"", ""WSET_L3_Study_Guide_Official_2026.pdf""]",2,"[""RA2"", ""Study Guide p.170""]",[],high,false,true,false,false,"Matched official PDF pages: 14 | Matched official PDF pages: 170, 192, 209",[]
Acidez,sat_term,"[""sat""]","[""WSET_L3_SAT_Official_2016.pdf""]",1,"[""Unit 2 SAT""]",[],high,false,true,false,false,Matched official PDF pages: 1,[]
acidity,sat_term,"[""study-guide""]","[""WSET_L3_Study_Guide_Official_2026.pdf""]",1,"[""SAT chapter""]",[],medium,false,true,false,false,"Matched official PDF pages: 10, 11, 13, 14, 15","[""conflicting_confidence"", ""needs_human_review""]"
Alcohol,sat_term,"[""sat"", ""study-guide""]","[""WSET_L3_SAT_Official_2016.pdf"", ""WSET_L3_Study_Guide_Official_2026.pdf""]",2,"[""Unit 2 SAT"", ""SAT chapter""]",[],high,false,true,false,false,"Matched official PDF pages: 1 | Matched official PDF pages: 10, 12, 14, 15",[]
arándano azul,sat_term,"[""sat""]","[""WSET_L3_SAT_Official_2016.pdf""]",1,"[""Unit 2 SAT""]",[],high,false,true,false,false,Matched official PDF pages: 2,[]
baja,sat_term,"[""sat""]","[""WSET_L3_SAT_Official_2016.pdf""]",1,"[""Unit 2 SAT""]",[],high,false,true,false,false,Matched official PDF pages: 1,[]
balance,sat_term,"[""study-guide""]","[""WSET_L3_Study_Guide_Official_2026.pdf""]",1,"[""SAT chapter""]",[],medium,false,true,false,false,"Matched official PDF pages: 12, 14, 15","[""conflicting_confidence"", ""needs_human_review""]"
burbujas,sat_term,"[""sat""]","[""WSET_L3_SAT_Official_2016.pdf""]",1,"[""Unit 2 SAT""]",[],high,false,true,false,false,Matched official PDF pages: 1,[]
Calidad,sat_term,"[""sat""]","[""WSET_L3_SAT_Official_2016.pdf""]",1,"[""Unit 2 SAT""]",[],high,false,true,false,false,Matched official PDF pages: 1,[]
Características del aroma,sat_term,"[""sat""]","[""WSET_L3_SAT_Official_2016.pdf""]",1,"[""Unit 2 SAT""]",[],high,false,true,false,false,Matched official PDF pages: 1,[]
Características del sabor,sat_term,"[""sat""]","[""WSET_L3_SAT_Official_2016.pdf""]",1,"[""Unit 2 SAT""]",[],high,false,true,false,false,Matched official PDF pages: 1,[]
claro,sat_term,"[""sat""]","[""WSET_L3_SAT_Official_2016.pdf""]",1,"[""Unit 2 SAT""]",[],high,false,true,false,false,Matched official PDF pages: 1,[]
Color,sat_term,"[""sat""]","[""WSET_L3_SAT_Official_2016.pdf""]",1,"[""Unit 2 SAT""]",[],high,false,true,false,false,Matched official PDF pages: 1,[]
complexity,sat_term,"[""study-guide""]","[""WSET_L3_Study_Guide_Official_2026.pdf""]",1,"[""SAT chapter""]",[],medium,false,true,false,false,"Matched official PDF pages: 12, 13","[""conflicting_confidence"", ""needs_human_review""]"
Condición,sat_term,"[""sat""]","[""WSET_L3_SAT_Official_2016.pdf""]",1,"[""Unit 2 SAT""]",[],high,false,true,false,false,Matched official PDF pages: 1,[]
Cuerpo,sat_term,"[""sat""]","[""WSET_L3_SAT_Official_2016.pdf""]",1,"[""Unit 2 SAT""]",[],high,false,true,false,false,Matched official PDF pages: 1,[]
Dulzor,sat_term,"[""sat""]","[""WSET_L3_SAT_Official_2016.pdf""]",1,"[""Unit 2 SAT""]",[],high,false,true,false,false,Matched official PDF pages: 1,[]
Evolución,sat_term,"[""sat""]","[""WSET_L3_SAT_Official_2016.pdf""]",1,"[""Unit 2 SAT""]",[],high,false,true,false,false,"Matched official PDF pages: 1, 2",[]
Final,sat_term,"[""sat""]","[""WSET_L3_SAT_Official_2016.pdf""]",1,"[""Unit 2 SAT""]",[],high,false,true,false,false,Matched official PDF pages: 1,[]
floral,sat_term,"[""sat"", ""study-guide""]","[""WSET_L3_SAT_Official_2016.pdf"", ""WSET_L3_Study_Guide_Official_2026.pdf""]",2,"[""Unit 2 SAT"", ""SAT chapter""]",[],high,false,true,false,false,Matched official PDF pages: 2 | Matched official PDF pages: 14,[]
Fruta cítrica,sat_term,"[""sat""]","[""WSET_L3_SAT_Official_2016.pdf""]",1,"[""Unit 2 SAT""]",[],high,false,true,false,false,Matched official PDF pages: 2,[]
Fruta de hueso,sat_term,"[""sat""]","[""WSET_L3_SAT_Official_2016.pdf""]",1,"[""Unit 2 SAT""]",[],high,false,true,false,false,Matched official PDF pages: 2,[]
Fruta negra,sat_term,"[""sat""]","[""WSET_L3_SAT_Official_2016.pdf""]",1,"[""Unit 2 SAT""]",[],high,false,true,false,false,Matched official PDF pages: 2,[]
Fruta roja,sat_term,"[""sat""]","[""WSET_L3_SAT_Official_2016.pdf""]",1,"[""Unit 2 SAT""]",[],high,false,true,false,false,Matched official PDF pages: 2,[]
Fruta tropical,sat_term,"[""sat""]","[""WSET_L3_SAT_Official_2016.pdf""]",1,"[""Unit 2 SAT""]",[],high,false,true,false,false,Matched official PDF pages: 2,[]
Fruta verde,sat_term,"[""sat""]","[""WSET_L3_SAT_Official_2016.pdf""]",1,"[""Unit 2 SAT""]",[],high,false,true,false,false,Matched official PDF pages: 2,[]
Intensidad,sat_term,"[""sat""]","[""WSET_L3_SAT_Official_2016.pdf""]",1,"[""Unit 2 SAT""]",[],high,false,true,false,false,Matched official PDF pages: 1,[]
Intensidad del sabor,sat_term,"[""sat""]","[""WSET_L3_SAT_Official_2016.pdf""]",1,"[""Unit 2 SAT""]",[],high,false,true,false,false,Matched official PDF pages: 1,[]
limpia,sat_term,"[""sat""]","[""WSET_L3_SAT_Official_2016.pdf""]",1,"[""Unit 2 SAT""]",[],high,false,true,false,false,Matched official PDF pages: 1,[]
media,sat_term,"[""sat""]","[""WSET_L3_SAT_Official_2016.pdf""]",1,"[""Unit 2 SAT""]",[],high,false,true,false,false,Matched official PDF pages: 1,[]
medio,sat_term,"[""sat""]","[""WSET_L3_SAT_Official_2016.pdf""]",1,"[""Unit 2 SAT""]",[],high,false,true,false,false,Matched official PDF pages: 1,[]
Mousse,sat_term,"[""study-guide""]","[""WSET_L3_Study_Guide_Official_2026.pdf""]",1,"[""SAT chapter""]",[],medium,false,true,false,false,Matched official PDF pages: 15,"[""conflicting_confidence"", ""needs_human_review""]"
NARIZ,sat_term,"[""sat""]","[""WSET_L3_SAT_Official_2016.pdf""]",1,"[""Unit 2 SAT""]",[],high,false,true,false,false,Matched official PDF pages: 1,[]
Nivel de calidad,sat_term,"[""sat""]","[""WSET_L3_SAT_Official_2016.pdf""]",1,"[""Unit 2 SAT""]",[],high,false,true,false,false,Matched official PDF pages: 1,[]
Otras observaciones,sat_term,"[""sat""]","[""WSET_L3_SAT_Official_2016.pdf""]",1,"[""Unit 2 SAT""]",[],high,false,true,false,false,Matched official PDF pages: 1,[]
primario,sat_term,"[""sat""]","[""WSET_L3_SAT_Official_2016.pdf""]",1,"[""Unit 2 SAT""]",[],high,false,true,false,false,"Matched official PDF pages: 1, 2",[]
pronunciada,sat_term,"[""sat""]","[""WSET_L3_SAT_Official_2016.pdf""]",1,"[""Unit 2 SAT""]",[],high,false,true,false,false,Matched official PDF pages: 1,[]
roble,sat_term,"[""sat""]","[""WSET_L3_SAT_Official_2016.pdf""]",1,"[""Unit 2 SAT""]",[],high,false,true,false,false,Matched official PDF pages: 2,[]
secundario,sat_term,"[""sat""]","[""WSET_L3_SAT_Official_2016.pdf""]",1,"[""Unit 2 SAT""]",[],high,false,true,false,false,"Matched official PDF pages: 1, 2",[]
Tanino,sat_term,"[""sat""]","[""WSET_L3_SAT_Official_2016.pdf""]",1,"[""Unit 2 SAT""]",[],high,false,true,false,false,Matched official PDF pages: 1,[]
tannin,sat_term,"[""study-guide""]","[""WSET_L3_Study_Guide_Official_2026.pdf""]",1,"[""SAT chapter""]",[],medium,false,true,false,false,"Matched official PDF pages: 10, 15","[""conflicting_confidence"", ""needs_human_review""]"
terciario,sat_term,"[""sat""]","[""WSET_L3_SAT_Official_2016.pdf""]",1,"[""Unit 2 SAT""]",[],high,false,true,false,false,"Matched official PDF pages: 1, 2",[]
ámbar,sat_term,"[""sat""]","[""WSET_L3_SAT_Official_2016.pdf""]",1,"[""Unit 2 SAT""]",[],high,false,true,false,false,Matched official PDF pages: 1,[]
acidification,vinification,"[""study-guide""]","[""WSET_L3_Study_Guide_Official_2026.pdf""]",1,"[""Study Guide p.57""]",[],medium,false,true,false,false,"Matched official PDF pages: 57, 65, 206","[""conflicting_confidence"", ""needs_human_review""]"
alcoholic fermentation,vinification,"[""study-guide""]","[""WSET_L3_Study_Guide_Official_2026.pdf""]",1,"[""Study Guide p.52""]",[],medium,false,true,false,false,"Matched official PDF pages: 52, 53, 57, 58, 73, 182, 183, 197","[""conflicting_confidence"", ""needs_human_review""]"
anaerobic winemaking,vinification,"[""study-guide""]","[""WSET_L3_Study_Guide_Official_2026.pdf""]",1,"[""Study Guide p.53""]","[""anaerobicw inemaking""]",medium,false,true,false,false,"Matched official PDF pages: 53, 206","[""needs_human_review"", ""possible_ocr_issue""]"
autolysis,vinification,"[""study-guide""]","[""WSET_L3_Study_Guide_Official_2026.pdf""]",1,"[""SAT chapter""]",[],medium,false,true,false,false,"Matched official PDF pages: 14, 183, 186, 189, 190, 206, 209","[""conflicting_confidence"", ""needs_human_review""]"
barrel,vinification,"[""study-guide""]","[""WSET_L3_Study_Guide_Official_2026.pdf""]",1,"[""Study Guide p.55""]",[],medium,false,true,false,false,"Matched official PDF pages: 55, 59, 65, 69, 70, 76, 94, 98, 116, 133, 140, 141 (+6 more)","[""conflicting_confidence"", ""needs_human_review""]"
blending,vinification,"[""study-guide""]","[""WSET_L3_Study_Guide_Official_2026.pdf""]",1,"[""Study Guide p.58""]",[],medium,false,true,false,false,"Matched official PDF pages: 58, 59, 64, 65, 74, 75, 76, 78, 87, 100, 111, 123 (+15 more)","[""conflicting_confidence"", ""needs_human_review""]"
carbonation,vinification,"[""study-guide""]","[""WSET_L3_Study_Guide_Official_2026.pdf""]",1,"[""Study Guide p.186""]",[],medium,false,true,false,false,"Matched official PDF pages: 186, 191, 192, 206","[""conflicting_confidence"", ""needs_human_review""]"
carbonic maceration,vinification,"[""study-guide""]","[""WSET_L3_Study_Guide_Official_2026.pdf""]",1,"[""Study Guide p.73""]",[],medium,false,true,false,false,"Matched official PDF pages: 73, 75, 99, 100, 140, 143","[""conflicting_confidence"", ""needs_human_review""]"
chaptalisation,vinification,"[""study-guide""]","[""WSET_L3_Study_Guide_Official_2026.pdf""]",1,"[""Study Guide p.56""]",[],medium,false,true,false,false,"Matched official PDF pages: 56, 206","[""conflicting_confidence"", ""needs_human_review""]"
clarification,vinification,"[""study-guide""]","[""WSET_L3_Study_Guide_Official_2026.pdf""]",1,"[""Study Guide p.59""]",[],medium,false,true,false,false,"Matched official PDF pages: 59, 64, 68, 70, 75, 206","[""conflicting_confidence"", ""needs_human_review""]"
crushing,vinification,"[""study-guide""]","[""WSET_L3_Study_Guide_Official_2026.pdf""]",1,"[""Study Guide p.55""]",[],medium,false,true,false,false,"Matched official PDF pages: 55, 149, 182, 207","[""conflicting_confidence"", ""needs_human_review""]"
deacidification,vinification,"[""study-guide""]","[""WSET_L3_Study_Guide_Official_2026.pdf""]",1,"[""Study Guide p.57""]",[],medium,false,true,false,false,"Matched official PDF pages: 57, 207","[""conflicting_confidence"", ""needs_human_review""]"
destemming,vinification,"[""study-guide""]","[""WSET_L3_Study_Guide_Official_2026.pdf""]",1,"[""Study Guide p.55""]",[],medium,false,true,false,false,"Matched official PDF pages: 55, 207","[""conflicting_confidence"", ""needs_human_review""]"
dosage,vinification,"[""specification"", ""study-guide""]","[""WSET_L3_Specification_Official_2026.pdf"", ""WSET_L3_Study_Guide_Official_2026.pdf""]",2,"[""RA3"", ""Study Guide p.183""]",[],high,false,true,false,false,Matched official PDF pages: 19 | Matched official PDF pages: 183,[]
fermentation,vinification,"[""study-guide""]","[""WSET_L3_Study_Guide_Official_2026.pdf""]",1,"[""SAT chapter""]",[],medium,false,true,false,false,"Matched official PDF pages: 12, 13, 14, 16, 50, 52, 53, 55, 56, 57, 58, 59 (+43 more)","[""conflicting_confidence"", ""needs_human_review""]"
filtration,vinification,"[""study-guide""]","[""WSET_L3_Study_Guide_Official_2026.pdf""]",1,"[""Study Guide p.57""]",[],medium,false,true,false,false,"Matched official PDF pages: 57, 59, 60, 61, 64, 65, 75, 197, 207, 209","[""conflicting_confidence"", ""needs_human_review""]"
fining,vinification,"[""study-guide""]","[""WSET_L3_Study_Guide_Official_2026.pdf""]",1,"[""Study Guide p.59""]",[],medium,false,true,false,false,"Matched official PDF pages: 59, 60, 61, 64, 75, 197, 202, 207","[""conflicting_confidence"", ""needs_human_review""]"
fortification,vinification,"[""study-guide""]","[""WSET_L3_Study_Guide_Official_2026.pdf""]",1,"[""Study Guide p.194""]",[],medium,false,true,false,false,"Matched official PDF pages: 194, 200, 201, 204, 207, 208, 209","[""conflicting_confidence"", ""needs_human_review""]"
free run juice,vinification,"[""study-guide""]","[""WSET_L3_Study_Guide_Official_2026.pdf""]",1,"[""Study Guide p.55""]",[],medium,false,true,false,false,"Matched official PDF pages: 55, 64, 207","[""conflicting_confidence"", ""needs_human_review""]"
lees ageing,vinification,"[""study-guide""]","[""WSET_L3_Study_Guide_Official_2026.pdf""]",1,"[""SAT chapter""]","[""lees contact""]",medium,false,true,false,false,"Matched official PDF pages: 14, 64, 69, 106, 188, 189, 191","[""needs_human_review"", ""possible_ocr_issue""]"
malolactic conversion,vinification,"[""study-guide""]","[""WSET_L3_Study_Guide_Official_2026.pdf""]",1,"[""SAT chapter""]","[""malolactic fermentation"", ""MLF""]",medium,false,true,false,false,"Matched official PDF pages: 12, 14, 16, 58, 59, 61, 64, 65, 69, 70, 71, 72 (+14 more)","[""needs_human_review"", ""possible_ocr_issue""]"
malolactic fermentation,vinification,"[""study-guide""]","[""WSET_L3_Study_Guide_Official_2026.pdf""]",1,"[""SAT chapter""]",[],medium,false,true,false,false,"Matched official PDF pages: 12, 14, 58, 59, 64, 72, 207, 208","[""conflicting_confidence"", ""needs_human_review""]"
maturation,vinification,"[""study-guide""]","[""WSET_L3_Study_Guide_Official_2026.pdf""]",1,"[""Study Guide p.52""]",[],medium,false,true,false,false,"Matched official PDF pages: 52, 53, 54, 55, 56, 58, 59, 60, 62, 63, 64, 66 (+25 more)","[""conflicting_confidence"", ""needs_human_review""]"
oak,vinification,"[""study-guide""]","[""WSET_L3_Study_Guide_Official_2026.pdf""]",1,"[""SAT chapter""]",[],medium,false,true,false,false,"Matched official PDF pages: 14, 16, 18, 20, 22, 53, 55, 59, 64, 65, 66, 68 (+79 more)","[""conflicting_confidence"", ""needs_human_review""]"
oxidation,vinification,"[""study-guide""]","[""WSET_L3_Study_Guide_Official_2026.pdf""]",1,"[""SAT chapter""]",[],medium,false,true,false,false,"Matched official PDF pages: 13, 50, 53, 55, 59, 61, 62, 64, 65, 68, 70, 75 (+6 more)","[""conflicting_confidence"", ""needs_human_review""]"
pressing,vinification,"[""study-guide""]","[""WSET_L3_Study_Guide_Official_2026.pdf""]",1,"[""Study Guide p.55""]",[],medium,false,true,false,false,"Matched official PDF pages: 55, 56, 72, 73, 74, 104, 107, 182, 189, 208","[""conflicting_confidence"", ""needs_human_review""]"
pumping over,vinification,"[""study-guide""]","[""WSET_L3_Study_Guide_Official_2026.pdf""]",1,"[""Study Guide p.57""]",[],medium,false,true,false,false,"Matched official PDF pages: 57, 72, 200, 208","[""conflicting_confidence"", ""needs_human_review""]"
punching down,vinification,"[""study-guide""]","[""WSET_L3_Study_Guide_Official_2026.pdf""]",1,"[""Study Guide p.72""]",[],medium,false,true,false,false,"Matched official PDF pages: 72, 73, 79, 208","[""conflicting_confidence"", ""needs_human_review""]"
rack and return,vinification,"[""study-guide""]","[""WSET_L3_Study_Guide_Official_2026.pdf""]",1,"[""Study Guide p.72""]",[],medium,false,true,false,false,"Matched official PDF pages: 72, 208","[""conflicting_confidence"", ""needs_human_review""]"
racking,vinification,"[""study-guide""]","[""WSET_L3_Study_Guide_Official_2026.pdf""]",1,"[""Study Guide p.59""]",[],medium,false,true,false,false,"Matched official PDF pages: 59, 208","[""conflicting_confidence"", ""needs_human_review""]"
red winemaking,vinification,"[""study-guide""]","[""WSET_L3_Study_Guide_Official_2026.pdf""]",1,"[""Study Guide p.64""]",[],medium,false,true,false,false,"Matched official PDF pages: 64, 72, 73, 208","[""conflicting_confidence"", ""needs_human_review""]"
reduction,vinification,"[""study-guide""]","[""WSET_L3_Study_Guide_Official_2026.pdf""]",1,"[""SAT chapter""]",[],medium,false,true,false,false,"Matched official PDF pages: 13, 208","[""conflicting_confidence"", ""needs_human_review""]"
riddling,vinification,"[""study-guide""]","[""WSET_L3_Study_Guide_Official_2026.pdf""]",1,"[""Study Guide p.183""]",[],medium,false,true,false,false,"Matched official PDF pages: 183, 184, 208","[""conflicting_confidence"", ""needs_human_review""]"
second alcoholic fermentation,vinification,"[""study-guide""]","[""WSET_L3_Study_Guide_Official_2026.pdf""]",1,"[""Study Guide p.183""]",[],medium,false,true,false,false,Matched official PDF pages: 183,"[""conflicting_confidence"", ""needs_human_review""]"
sedimentation,vinification,"[""study-guide""]","[""WSET_L3_Study_Guide_Official_2026.pdf""]",1,"[""Study Guide p.58""]",[],medium,false,true,false,false,"Matched official PDF pages: 58, 59, 75, 209","[""conflicting_confidence"", ""needs_human_review""]"
semi-carbonic maceration,vinification,"[""study-guide""]","[""WSET_L3_Study_Guide_Official_2026.pdf""]",1,"[""Study Guide p.73""]",[],medium,false,true,false,false,"Matched official PDF pages: 73, 75, 143","[""conflicting_confidence"", ""needs_human_review""]"
skin contact,vinification,"[""study-guide""]","[""WSET_L3_Study_Guide_Official_2026.pdf""]",1,"[""Study Guide p.20""]",[],medium,false,true,false,false,"Matched official PDF pages: 20, 64, 68, 142, 204, 209","[""conflicting_confidence"", ""needs_human_review""]"
sorting,vinification,"[""study-guide""]","[""WSET_L3_Study_Guide_Official_2026.pdf""]",1,"[""Study Guide p.50""]",[],medium,false,true,false,false,"Matched official PDF pages: 50, 55, 209","[""conflicting_confidence"", ""needs_human_review""]"
stabilisation,vinification,"[""study-guide""]","[""WSET_L3_Study_Guide_Official_2026.pdf""]",1,"[""Study Guide p.60""]",[],medium,false,true,false,false,"Matched official PDF pages: 60, 64, 74, 75, 209","[""conflicting_confidence"", ""needs_human_review""]"
traditional method,vinification,"[""study-guide""]","[""WSET_L3_Study_Guide_Official_2026.pdf""]",1,"[""Study Guide p.99""]",[],medium,false,true,false,false,"Matched official PDF pages: 99, 105, 154, 165, 182, 184, 186, 189, 190, 191, 192, 200 (+1 more)","[""conflicting_confidence"", ""needs_human_review""]"
transfer method,vinification,"[""study-guide""]","[""WSET_L3_Study_Guide_Official_2026.pdf""]",1,"[""Study Guide p.184""]",[],medium,false,true,false,false,"Matched official PDF pages: 184, 186, 209","[""conflicting_confidence"", ""needs_human_review""]"
white winemaking,vinification,"[""study-guide""]","[""WSET_L3_Study_Guide_Official_2026.pdf""]",1,"[""Study Guide p.51""]",[],medium,false,true,false,false,"Matched official PDF pages: 51, 64, 72, 121, 209","[""conflicting_confidence"", ""needs_human_review""]"
whole bunch fermentation,vinification,"[""study-guide""]","[""WSET_L3_Study_Guide_Official_2026.pdf""]",1,"[""Study Guide p.51""]","[""whole bunch""]",medium,false,true,false,false,"Matched official PDF pages: 51, 73, 207, 209","[""alias_collision"", ""ambiguous_category"", ""needs_human_review"", ""possible_ocr_issue""]"
bench grafting,viticulture,"[""study-guide""]","[""WSET_L3_Study_Guide_Official_2026.pdf""]",1,"[""Study Guide p.32""]",[],medium,false,true,false,false,"Matched official PDF pages: 32, 206","[""conflicting_confidence"", ""needs_human_review""]"
Botrytis cinerea,viticulture,"[""study-guide""]","[""WSET_L3_Study_Guide_Official_2026.pdf""]",1,"[""Study Guide p.49""]",[],medium,false,true,false,false,"Matched official PDF pages: 49, 206","[""conflicting_confidence"", ""needs_human_review""]"
budburst,viticulture,"[""study-guide""]","[""WSET_L3_Study_Guide_Official_2026.pdf""]",1,"[""Study Guide p.33""]",[],medium,false,true,false,false,"Matched official PDF pages: 33, 34, 47, 206","[""conflicting_confidence"", ""needs_human_review""]"
canopy management,viticulture,"[""study-guide""]","[""WSET_L3_Study_Guide_Official_2026.pdf""]",1,"[""Study Guide p.43""]",[],medium,false,true,false,false,"Matched official PDF pages: 43, 49, 87, 148, 177, 179, 206","[""conflicting_confidence"", ""needs_human_review""]"
clones,viticulture,"[""specification"", ""study-guide""]","[""WSET_L3_Specification_Official_2026.pdf"", ""WSET_L3_Study_Guide_Official_2026.pdf""]",2,"[""RA1"", ""Study Guide p.28""]",[],high,false,true,false,false,"Matched official PDF pages: 10 | Matched official PDF pages: 28, 70, 77, 206, 209",[]
crossings,viticulture,"[""study-guide""]","[""WSET_L3_Study_Guide_Official_2026.pdf""]",1,"[""Study Guide p.31""]",[],medium,false,true,false,false,"Matched official PDF pages: 31, 207, 209","[""conflicting_confidence"", ""needs_human_review""]"
density of planting,viticulture,"[""study-guide""]","[""WSET_L3_Study_Guide_Official_2026.pdf""]",1,"[""Index""]",[],medium,false,true,false,false,Matched official PDF pages: 207,"[""conflicting_confidence"", ""needs_human_review""]"
diseases,viticulture,"[""study-guide""]","[""WSET_L3_Study_Guide_Official_2026.pdf""]",1,"[""Study Guide p.28""]",[],medium,false,true,false,false,"Matched official PDF pages: 28, 31, 39, 42, 43, 46, 49, 50, 114, 130, 146, 161 (+5 more)","[""conflicting_confidence"", ""needs_human_review""]"
flowering,viticulture,"[""study-guide""]","[""WSET_L3_Study_Guide_Official_2026.pdf""]",1,"[""Study Guide p.33""]",[],medium,false,true,false,false,"Matched official PDF pages: 33, 35, 36, 39, 40, 48, 87, 94, 121, 177, 199, 207","[""conflicting_confidence"", ""needs_human_review""]"
frost,viticulture,"[""study-guide""]","[""WSET_L3_Study_Guide_Official_2026.pdf""]",1,"[""Study Guide p.35""]",[],medium,false,true,false,false,"Matched official PDF pages: 35, 36, 37, 40, 46, 87, 94, 95, 106, 121, 159, 181 (+2 more)","[""conflicting_confidence"", ""needs_human_review""]"
