video_id,video_title,clean_status,academic_level,pedagogical_role,word_count_raw,word_count_clean,chunk_count,dictionary_match_count,dictionary_categories_detected,asr_corrections_count,low_confidence_terms_count,quality_flags,safe_for_tutor,safe_for_examiner,processed_at,error_message
0LRBstQgK0I,Understanding Southern France for WSET Level 3 Wines Part 1 - Climate Grapegrowing & Grape Varieties,completed,WSET_L3,exam_strategy,5634,3608,19,21,appellation|grape_variety|region|sat_term|wine_law,5,0,noisy_caption|exam_strategy_content|tasting_content|theory_content,True,False,2026-05-14T17:51:36+00:00,
-Enx7PlS3Yg,Grape Varieties - Sangiovese Advanced Level ideal for WSET Level 3 and Level 4 (WSET Diploma),completed,MIXED,exam_strategy,5130,3347,16,,,,,noisy_caption|mixed_level_content|exam_strategy_content|tasting_content|theory_content,True,False,2026-05-14T01:01:49+00:00,
-JEzspOn34o,Sweet food and wine pairing for WSET,completed,UNKNOWN,tasting_practice,1676,1171,6,,,,,noisy_caption|tasting_content,True,False,2026-05-14T01:01:49+00:00,
-P3uCbay2mQ,Understanding the Vineyards of Argentina for WSET,completed,WSET_DIPLOMA,advanced_enrichment,3124,2139,10,,,,,noisy_caption|diploma_level_content|tasting_content|theory_content,True,False,2026-05-14T01:01:49+00:00,
-P74Qh-YnNA,Loire Valley Wine Basics: Muscadet & Melon Blanc Explained - WSET & Wine Lover Guide,completed,UNKNOWN,theory_explanation,1903,1299,6,,,,,noisy_caption|theory_content,True,False,2026-05-14T01:01:49+00:00,
-QCp0iTQVYY,Exploring Australian Climate and Geology for WSET Level 4 Diploma🍷,completed,WSET_DIPLOMA,advanced_enrichment,2100,1439,8,,,,,noisy_caption|diploma_level_content|theory_content,True,False,2026-05-14T01:01:49+00:00,
